ダメージ表
;---------------------------------------------------------------------------
立ち弱　　　　＝35
補正　　　　　＝78%

立ち中　　　　＝60
補正　　　　　＝70%

立ち強　　　　＝90+15+15+15+80
特殊補正　　　＝最後の攻撃ヒット後60%

しゃがみ弱  　＝30
補正　　　　　＝75%

しゃがみ中  　＝50+50
補正　　　　　＝85%

しゃがみ強  　＝110
補正　　　　　＝60%

BEしゃがみ強　＝180

空中弱      　＝30
補正　　　　　＝73%

空中中　　　　＝60

空中強　　　　＝120
特殊補正　　　＝90%

BE空中強　　  ＝140
補正　　　　　＝80%

投げ　　　　　＝150

空中投げ　　　＝140
;---------------------------------------------------------------------------
シールドカウンター　　　　　　　　＝210

空中シールドカウンター　　　　　　＝220

シールドバンカー　　　　　　　　　＝150

こんなん育ててみました♪弱　　　　＝33*ｎ

こんなん育ててみました♪中　　　　＝28*8
補正　　　　　　　　　　　　　　　＝1ヒットごとに4%

こんなん育ててみました♪EX　　　　＝100+25*11+65
補正　　　　　　　　　　　　　　　＝最初から着地するまでの攻撃85%
特殊補正　　　　　　　　　　　　　＝着地後から1ヒットごとに4%

こんなん育ててみました♪ジョニー　＝80
補正　　　　　　　　　　　　　　　＝80%

抜刀・秘密の業物弱　　　　　　　　＝100

BE抜刀・秘密の業物弱　　　　　　　＝150

抜刀・秘密の業物中　　　　　　　　＝100

BE抜刀・秘密の業物中　　　　　　　＝180
特殊補正　　　　　　　　　　　　　＝70%

抜刀・秘密の業物追加　　　　　　　＝80

抜刀・秘密の業物EX　　　　　　　　＝200

マジカルアンバーミサイル　　　　　＝60*3
補正　　　　　　　　　　　　　　　＝80%

マジカルアンバーミサイルEX　　　　＝50*12
特殊補正　　　　　　　　　　　　　＝一つの火炎瓶が当たるごとに75%(4回まで)

琥珀マグナムアッパー　　　　　　　＝50
特殊補正　　　　　　　　　　　　　＝55%
;---------------------------------------------------------------------------
チャイナ琥珀／開打靠靭琥珀脚　　＝120+120+160

チャイナ琥珀／開打散靭琥珀失脚　＝80+30*6+60150+50+150

抜刀奥義・賀正箒星　　　　　　　＝420
