ダメージ表
;---------------------------------------------------------------------------
立ち弱　　　＝35+35
補正　　　　＝78%

立ち中　　　＝30+50+50

立ち強　　　＝45+40+40+40+40
補正　　　　＝85%

4中　　　　 ＝80
補正　　　　＝75%

しゃがみ弱  ＝30
補正　　　　＝76%

しゃがみ中  ＝65
補正　　　　＝65%

しゃがみ強  ＝75

3強         ＝100
補正　　　　＝78%

空中弱      ＝35
補正　　　　＝78%

空中中　　　＝70

空中強　　　＝105
特殊補正　　＝90%

空中2強　　 ＝40＊ｎ

投げ　　　　＝140

空中投げ　　＝110
;---------------------------------------------------------------------------
シールドカウンター　　　＝210

空中シールドカウンター　＝220

シールドバンカー　　　　＝120

グラスグラスティタイム　＝10

猫通ロケット　　　　　　＝22+85
補正　　　　　　　　　　＝猫上昇時のヒット50%

猫召喚　　　　　　　　　＝猫(30)+猫歩く(222)

フルールフリーズ弱　　　＝80

BEフルールフリーズ弱　　＝150
補正　　　　　　　　　　＝60%

フルールフリーズ中　　　＝80

BEフルールフリーズ　　　＝80*2
補正　　　　　　　　　　＝60%

フルールフリーズEX　　　＝50*8
補正　　　　　　　　　　＝最後の攻撃ヒット後40%

空中フルールフリーズEX　＝50*7

ロンドン・ロンド弱　　　＝30+30+30+50

ロンドン・ロンド中　　　＝35+35+35+120

ロンドン・ロンド追加　　＝30+30+30+50

ロンドン・ロンドEX　　　＝30*8+100
特殊補正　　　　　　　　＝最後の蹴りヒット後70%
;---------------------------------------------------------------------------
ウタカタ　　　　　　　　　＝22*ｎ

ホウマツノユメ　　　　　　＝25+50*15

クリームパフドリームレム　＝40*12
