ダメージ表
;---------------------------------------------------------------------------
立ち弱　　　　＝25
補正　　　　　＝75%

立ち中　　　　＝70

立ち強　　　　＝100
補正　　　　　＝90%

BE立ち強　　　＝140
補正　　　　　＝70%

しゃがみ弱  　＝30
補正　　　　　＝75%

しゃがみ中  　＝60

しゃがみ強  　＝80+60
補正　　　　　＝最後の攻撃ヒット後55%

BEしゃがみ強　＝100+95
補正　　　　　＝最後の攻撃ヒット後70%

空中弱      　＝50
補正　　　　　＝72.5%

空中中　　　　＝90

空中強　　　　＝120
特殊補正　　　＝85%

BE空中強　　　＝210
補正　　　　　＝50%

投げ　　　　　＝140

空中投げ　　　＝130
;---------------------------------------------------------------------------
シールドカウンター　　　＝240

空中シールドカウンター　＝210

シールドバンカー　　　　＝140

いっくよー！弱　　　　　＝100
補正　　　　　　　　　　＝92.5%

いっくよー！中　　　　　＝70+80
補正　　　　　　　　　　＝最後の攻撃ヒット後72.5%

いっくよー！EX　　　　　＝240
特殊補正　　　　　　　　＝47%

さっちんアーム弱　　　　＝150
補正　　　　　　　　　　＝95%

さっちんアーム中　　　　＝130
補正　　　　　　　　　　＝95%

さっちんアームEX　　　　＝240
特殊補正　　　　　　　　＝70%

邪魔しないでっ……！弱　＝100
補正　　　　　　　　　　＝70%

邪魔しないでっ……！中　＝80+100

邪魔しないでっ……！EX　＝40*6+60
補正　　　　　　　　　　＝最後の蹴りヒット後50%

よーく狙って！　　　　　＝150
;---------------------------------------------------------------------------
怒ったんだから！　　＝150+180

BH怒ったんだから！　＝80+100+28*20+200

固有結界・枯渇庭園　＝30*20
