;=============================================================================================
メカヒスイ　サウンド
;=============================================================================================
;---------------------------------------------------------------------------------------------
Group_0;効果音1
;---------------------------------------------------------------------------------------------
0_0   ;打撃音1（弱攻撃）
0_1   ;打撃音2（中攻撃）
0_2   ;打撃音3（強攻撃）
0_3   ;打撃音4
0_4   ;打撃音5
0_5   ;打撃音6
0_6   ;打撃音7
0_7   ;打撃音8
0_8   ;打撃音9
0_9   ;斬撃音
0_10  ;ガード音
0_11  ;炎上音
0_12  ;凍結音
0_13  ;電撃音

;---------------------------------------------------------------------------------------------
Group_1;効果音2
;---------------------------------------------------------------------------------------------
1_0   ;風切音1
1_1   ;風切音2
1_2   ;風切音3

;---------------------------------------------------------------------------------------------
Group_10;SE
;---------------------------------------------------------------------------------------------
10_0  ;チャージ音
10_1  ;シールド発生音
10_2  ;シールド成功音1
10_3  ;シールド成功音2
10_4  ;壁撃突音
10_5  ;ダウン音
10_6  ;ハイジャンプ音
10_7  ;着地音
10_8  ;ダッシュ音
10_9  ;ダッシュ停止音
10_10 ;暗転音
10_11 ;強制開放音

;---------------------------------------------------------------------------------------------
Group_100;メカヒスイ効果音
;---------------------------------------------------------------------------------------------
100_0 ;チェンソー
100_1 ;ハリセン
100_2 ;炎
100_3 ;電子音（レーザー）
100_4 ;電子音（ビームサーベル、バリヤー）
100_5 ;電子音（電磁ネットワイヤー・TYPEハイ）
100_6 ;重低音1
100_7 ;重低音2
100_8 ;爆発音
100_9 ;爆発音（大）
100_10;ドリル音
100_11;キングフィッシャー発射音
100_12;L・S・O行進音
100_13;サタデーホバー音
100_14;サタデー点火音
100_15;飛行音
100_16;第七聖典攻撃音
100_17;第七聖典打撃音
100_18;第七聖典リロード音
100_19;ブラッドバイブル・ハートブレイカー打撃音
100_20;偽暗黒翡翠拳衝撃波発生音
100_21;ガンマ・レイ発射音

;---------------------------------------------------------------------------------------------
Group_110;メカヒスイSE
;---------------------------------------------------------------------------------------------
110_0 ;機動音
110_1 ;ダッシュ音
110_2 ;ワームホール音
110_3 ;テレポート音
110_4 ;第七聖典発動音
110_5 ;ブラッドバイブル・ハートブレイカー発動音
110_6 ;リーズバイフェ発生音
110_7 ;ダッシュ音(琥珀)

;---------------------------------------------------------------------------------------------
Group_200;メカヒスイ攻撃ボイス1
;---------------------------------------------------------------------------------------------
200_0 ;ショック
200_1 ;エラー
200_2 ;イキマス
200_3 ;チャージ
200_4 ;ドカン
200_5 ;トベ
200_6 ;ピピピ
200_7 ;ウイン
200_8 ;反撃、デス
200_9 ;マッサツ
200_10;撃破、スル
200_11;ニトロ・オン
200_12;メルト・ダウン
200_13;充電

;---------------------------------------------------------------------------------------------
Group_210;メカヒスイ攻撃ボイス2
;---------------------------------------------------------------------------------------------
210_0 ;ビーム
210_1 ;処刑スル
210_2 ;ミサイル
210_3 ;ソノ武器ヲ捨テロ
210_4 ;ロック
210_5 ;リトライ
210_6 ;ロック
210_7 ;デンゲキ
210_8 ;ドリル
210_9 ;バリヤー
210_10;排除スル
210_11;投獄スル

;---------------------------------------------------------------------------------------------
Group_220;メカヒスイ攻撃ボイス3
;---------------------------------------------------------------------------------------------
220_0 ;コウグン、カイシ
220_1 ;レ・リ・オ・ン
220_2 ;ゼンキ、シュツゲキ
220_3 ;シンパン、ノ、日、ダ
220_4 ;ショウジュンコテイ
220_5 ;サタデーナイト・フォーエバー
220_6 ;ファイナルー・バスター
220_7 ;アンコク、ヒスイ、リュウ
220_8 ;ニセモノビーム

;---------------------------------------------------------------------------------------------
Group_300;メカヒスイダメージボイス
;---------------------------------------------------------------------------------------------
300_0 ;ピピ
300_1 ;ガガ
300_2 ;ガガ
300_3 ;ダメージ
300_4 ;シキサマ、シキサマ、シキサマ
300_5 ;自爆シマス
300_6 ;アタック
300_7 ;リロード
300_8 ;ピ
300_9 ;ピピ
300_10;ガガ
300_11;ガガガ

;---------------------------------------------------------------------------------------------
Group_400;メカヒスイイントロボイス
;---------------------------------------------------------------------------------------------
400_0 ;ミッション、スタート。
400_1 ;ホカク、シマス。
400_2 ;カシコマリマシタ、マスター。
400_3 ;カシコマリマシタ、ドクター。
400_4 ;やっちゃえ！（琥珀）
400_5 ;いけいけ！（琥珀）
400_6 ;ゴーゴー！（琥珀）

;---------------------------------------------------------------------------------------------
Group_410;メカヒスイ勝利ボイス
;---------------------------------------------------------------------------------------------
410_0 ;主動力、停止。第二動力、ゴム巻キ機構ニ移行シマス。
410_1 ;私ハ、ヒスイデス。偽者デハ、アリマセン。
410_2 ;ゴキゲン、ヨウ。
410_3 ;ジェネレーターガ動機、デス。
410_4 ;……申シ訳アリマセン、志貴サマ。ドクターニ、安全性ノ高イ捕縛武装ヲ提案シマス。
410_5 ;――――実行プログラムニ異常発生。自己保存ヲ優先シ、目標ノ記憶、本機メモリーヲロスト。
410_6 ;――――実行プログラムニ異常ナシ。ドクター、ゴ無事デスカ？

;---------------------------------------------------------------------------------------------
Group_420;メカヒスイ敗北ボイス
;---------------------------------------------------------------------------------------------
420_0 ;シキサマ
420_1 ;ネエサン
420_2 ;アキハ

;---------------------------------------------------------------------------------------------
Group_500;用途不明
;---------------------------------------------------------------------------------------------
500_0 ;アナタヲ完全デス
500_1 ;不明
500_3 ;ドリル音?

;---------------------------------------------------------------------------------------------
Group_600;GG系効果音
;---------------------------------------------------------------------------------------------
600_0 ;フォルトレスディフェンス音
600_1 ;サイクバースト音
600_2 ;オーバークロック発動音
600_3 ;オーバークロック電磁波発生音
600_4 ;ロマンティック
600_5 ;カウンター

;---------------------------------------------------------------------------------------------
