ニューコスチューム　真・雨里　要　サウンドアドレス  2002/9/16

0-0  通常技風切り弱
0-1  通常技風切り強
0-2  鋼皇牙拳風切り
0-3  衝破拳風切り
0-4  電流
0-5  ジャンプ
0-6  ガード
0-7  通常技強ヒット
0-8  衝破拳ヒット
0-9  鋼皇牙拳ヒット
1-0  撃砕刃ヒット
1-1  撃滅鋼皇牙拳ヒット
1-2  超必撃砕刃ヒット（フィニッシュ）
1-3  ハイパーコンボ発動
1-4  ハイパーコンボ風切り・ヴォイドパワー発動
1-5  ハイパーコンボフィニッシュ
1-6  必殺技フィニッシュ
1-7  ウインク音
1-8  ディフェンシヴホールド
1-9  掴み
2-0  叩きつけ
2-1  着地
2-2  ダッシュ
2-3  通常技弱ヒット
2-4  超必撃砕刃ヒット（最初）
2-5  眠れる獅子ヒット
2-6  リミットブレイク！
2-7  ((？？？？ヒット))
2-8  勝利メッセージ画面ＢＧＭ

11-0 ぐはぁぁぁぁぁぁ！！！（ＫＯサウンド）

3-0  ふっ！
3-1  はっ！
3-2  ぃやっ！
3-3  どぅあ！
3-4  はぁぁっ！
3-5  せいやっ！
3-6  いくぞ！
3-7  見切った！
3-8  はぁぁぁぁぁぁぁぁぁぁぁぁ！！！
3-9  うぅ
4-0  うわっ
4-1  イテッ
4-2  あんたの力
4-3  見せてくれ！
4-4  いくぞ
4-5  やるな
4-6  もういっぺんやってみな
4-7  それがどうした！
4-8  鋼皇牙拳！！
4-9  撃砕！
5-0  衝！
5-1  衝破！
5-2  応脚！
5-3  極めろ
5-4  己の力を
5-5  それだけか？
5-6  僕を倒したくば
5-7  あんたの「あと一歩」を超えてみろ！
5-8  あきらめたら負けだ！
5-9  もっと掛かって来い
6-0  まだ闘える余力があるならな
6-1  奥義、撃滅！
6-2  椎葉、
6-3  下がってろ
6-4  やるな！！
6-5  負けはしない！！
6-6  耐えられるか？




































　／ ■ ＼
(′∀｀∩) ＜恐怖の一本角(The Horn of Fear)
（ ⊃　 ノ
（　ヽノ
　 し(_)
